formatted_date,date,close,high,low,open,volume,adjclose,changes
2021-08-10,2021-08-10,46638.0,44706.0,46281.0,45585.0,33546019517,45585.0,positive
2021-08-11,2021-08-11,46736.0,45352.0,45600.0,45594.0,34319709073,45594.0,positive
2021-08-12,2021-08-12,46229.0,43861.0,45577.0,44428.0,33723620826,44428.0,negative
2021-08-13,2021-08-13,47832.0,44282.0,44440.0,47793.0,31744259539,47793.0,positive
2021-08-14,2021-08-14,48099.0,46178.0,47811.0,47097.0,31211354442,47097.0,positive
2021-08-15,2021-08-15,47357.0,45580.0,47097.0,47047.0,30988958446,47047.0,negative
2021-08-16,2021-08-16,47998.0,45700.0,47020.0,46004.0,32776876610,46004.0,positive
2021-08-17,2021-08-17,47140.0,44512.0,45936.0,44695.0,33451362600,44695.0,negative
2021-08-18,2021-08-18,45952.0,44364.0,44687.0,44801.0,32194123075,44801.0,negative
2021-08-19,2021-08-19,46971.0,43998.0,44742.0,46718.0,37204312299,46718.0,positive
2021-08-20,2021-08-20,49342.0,46651.0,46723.0,49339.0,34706867452,49339.0,positive
2021-08-21,2021-08-21,49717.0,48312.0,49327.0,48905.0,40585205312,48905.0,positive
2021-08-22,2021-08-22,49472.0,48200.0,48869.0,49322.0,25370975378,49322.0,negative
2021-08-23,2021-08-23,50482.0,49075.0,49292.0,49546.0,34305053719,49546.0,positive
2021-08-24,2021-08-24,49879.0,47687.0,49562.0,47706.0,35361168834,47706.0,negative
2021-08-25,2021-08-25,49203.0,47164.0,47727.0,48961.0,32646349931,48961.0,negative
2021-08-26,2021-08-26,49348.0,46406.0,49003.0,46942.0,32666549568,46942.0,positive
2021-08-27,2021-08-27,49113.0,46394.0,46895.0,49059.0,34511076995,49059.0,negative
2021-08-28,2021-08-28,49284.0,48499.0,49073.0,48902.0,28568103401,48902.0,positive
2021-08-29,2021-08-29,49644.0,47926.0,48911.0,48830.0,25889650240,48830.0,positive
2021-08-30,2021-08-30,48926.0,46950.0,48835.0,47055.0,31847007016,47055.0,negative
2021-08-31,2021-08-31,48190.0,46750.0,47024.0,47167.0,34730363427,47167.0,negative
2021-09-01,2021-09-01,49111.0,46562.0,47100.0,48847.0,39139399125,48847.0,positive
2021-09-02,2021-09-02,50343.0,48652.0,48808.0,49328.0,39508070319,49328.0,positive
2021-09-03,2021-09-03,50982.0,48386.0,49288.0,50025.0,43206179619,50025.0,positive
2021-09-04,2021-09-04,50546.0,49549.0,50009.0,49945.0,37471327794,49945.0,negative
2021-09-05,2021-09-05,51869.0,49539.0,49938.0,51753.0,30322676319,51753.0,positive
2021-09-06,2021-09-06,52701.0,51054.0,51769.0,52634.0,38884105426,52634.0,positive
2021-09-07,2021-09-07,52854.0,43285.0,52660.0,46811.0,65210059683,46811.0,positive
2021-09-08,2021-09-08,47334.0,44561.0,46828.0,46091.0,49007762488,46091.0,negative
2021-09-09,2021-09-09,47262.0,45670.0,45775.0,46391.0,38672657013,46391.0,negative
2021-09-10,2021-09-10,47032.0,44344.0,46397.0,44884.0,39154666597,44884.0,negative
2021-09-11,2021-09-11,45969.0,44818.0,44870.0,45201.0,34499835245,45201.0,negative
2021-09-12,2021-09-12,46365.0,44790.0,45207.0,46063.0,27881980161,46063.0,positive
2021-09-13,2021-09-13,46599.0,43591.0,46057.0,44963.0,40969943253,44963.0,positive
2021-09-14,2021-09-14,47218.0,44752.0,44960.0,47092.0,38652152880,47092.0,positive
2021-09-15,2021-09-15,48450.0,46773.0,47098.0,48176.0,30484496466,48176.0,positive
2021-09-16,2021-09-16,48487.0,47080.0,48159.0,47783.0,31764293754,47783.0,positive
2021-09-17,2021-09-17,48161.0,46833.0,47771.0,47268.0,28727713711,47268.0,negative
2021-09-18,2021-09-18,48792.0,47087.0,47274.0,48278.0,28575630451,48278.0,positive
2021-09-19,2021-09-19,48328.0,46920.0,48269.0,47260.0,26967722648,47260.0,negative
2021-09-20,2021-09-20,47328.0,42599.0,47261.0,42844.0,43909845642,42844.0,negative
2021-09-21,2021-09-21,43608.0,39788.0,43012.0,40694.0,48701090088,40694.0,negative
2021-09-22,2021-09-22,43979.0,40626.0,40678.0,43575.0,38139709246,43575.0,positive
2021-09-23,2021-09-23,44942.0,43109.0,43560.0,44895.0,34244064430,44895.0,positive
2021-09-24,2021-09-24,45080.0,40937.0,44894.0,42840.0,42839345714,42840.0,positive
2021-09-25,2021-09-25,42996.0,41760.0,42841.0,42717.0,31604717236,42717.0,negative
2021-09-26,2021-09-26,43919.0,40848.0,42722.0,43209.0,30661222077,43209.0,positive
2021-09-27,2021-09-27,44313.0,42191.0,43234.0,42236.0,30980029059,42236.0,positive
2021-09-28,2021-09-28,42775.0,40932.0,42201.0,41035.0,30214940550,41035.0,negative
2021-09-29,2021-09-29,42545.0,40830.0,41065.0,41564.0,30602359905,41564.0,negative
2021-09-30,2021-09-30,44093.0,41445.0,41551.0,43791.0,31141681925,43791.0,positive
2021-10-01,2021-10-01,48436.0,43320.0,43817.0,48117.0,42850641582,48117.0,positive
2021-10-02,2021-10-02,48282.0,47465.0,48137.0,47711.0,30614346492,47711.0,negative
2021-10-03,2021-10-03,49131.0,47157.0,47680.0,48200.0,26638115879,48200.0,positive
2021-10-04,2021-10-04,49457.0,47045.0,48209.0,49113.0,33383173002,49113.0,positive
2021-10-05,2021-10-05,51840.0,49073.0,49175.0,51515.0,35873904236,51515.0,positive
2021-10-06,2021-10-06,55568.0,50488.0,51487.0,55361.0,49034730168,55361.0,positive
2021-10-07,2021-10-07,55339.0,53525.0,55339.0,53806.0,36807860413,53806.0,negative
2021-10-08,2021-10-08,55923.0,53688.0,53802.0,53968.0,34800873924,53968.0,positive
2021-10-09,2021-10-09,55398.0,53735.0,53930.0,54968.0,32491211414,54968.0,negative
2021-10-10,2021-10-10,56401.0,54264.0,54953.0,54772.0,39527792364,54772.0,positive
